,original,original_tuple,destination,destination_tuple,original address,destination address,distance,time
0,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",สวนผึ้ง,"('สวนผึ้ง', 'ราชบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['G8VQ+JWP ถ. ราชบุรี - ผาปก Tambon Suan Phueng, Amphoe Suan Phueng, Chang Wat Ratchaburi 70180, Thailand']",73.3 km,1 hour 14 mins
1,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",ไทรโยค,"('ไทรโยค', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['หมู่ 1, อาคารที่ว่าการอำเภอไทรโยค, ตำบลลุ่มสุ่ม อำเภอไทรโยค จังหวัดกาญจนบุรี, 71150 Tambon Lum Sum, Amphoe Sai Yok, Chang Wat Kanchanaburi 71150, Thailand']",55.7 km,53 mins
2,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",บ่อพลอย,"('บ่อพลอย', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['344/2 3086, Tambon Bo Phloi, Amphoe Bo Phloi, Chang Wat Kanchanaburi 71160, Thailand']",45.6 km,46 mins
3,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",ศรีสวัสดิ์,"('ศรีสวัสดิ์', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['หมู่ 3, อาคารที่ว่าการอำเภอศรีสวัสดิ์, ตำบลด่านแม่แฉลบ อำเภอศรีสวัสดิ์ จังหวัดกาญจนบุรี, 71250 Tambon Dan Mae Chalap, Amphoe Si Sawat, Chang Wat Kanchanaburi 71250, Thailand']",130 km,2 hours 13 mins
4,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",ท่าม่วง,"('ท่าม่วง', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['XJ8Q+MGR, Tha Muang, Tha Muang District, Kanchanaburi 71110, Thailand']",11.9 km,16 mins
5,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",พนมทวน,"('พนมทวน', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['4MJX+4H9, Phanom Thuan, Phanom Thuan District, Kanchanaburi 71140, Thailand']",25.7 km,29 mins
6,เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')",ด่านมะขามเตี้ย,"('ด่านมะขามเตี้ย', 'กาญจนบุรี')","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']","['VC36+96R, Dan Makham Tia, Dan Makham Tia District, Kanchanaburi 71260, Thailand']",28.9 km,31 mins
7,ไทรโยค,"('ไทรโยค', 'กาญจนบุรี')",เมืองกาญจนบุรี,"('เมืองกาญจนบุรี', 'กาญจนบุรี')","['หมู่ 1, อาคารที่ว่าการอำเภอไทรโยค, ตำบลลุ่มสุ่ม อำเภอไทรโยค จังหวัดกาญจนบุรี, 71150 Tambon Lum Sum, Amphoe Sai Yok, Chang Wat Kanchanaburi 71150, Thailand']","['328 Sangchuto Rd, Ban Tai, Amphoe Mueang Kanchanaburi, Chang Wat Kanchanaburi 71000, Thailand']",53.0 km,54 mins
8,ไทรโยค,"('ไทรโยค', 'กาญจนบุรี')",ศรีสวัสดิ์,"('ศรีสวัสดิ์', 'กาญจนบุรี')","['หมู่ 1, อาคารที่ว่าการอำเภอไทรโยค, ตำบลลุ่มสุ่ม อำเภอไทรโยค จังหวัดกาญจนบุรี, 71150 Tambon Lum Sum, Amphoe Sai Yok, Chang Wat Kanchanaburi 71150, Thailand']","['หมู่ 3, อาคารที่ว่าการอำเภอศรีสวัสดิ์, ตำบลด่านแม่แฉลบ อำเภอศรีสวัสดิ์ จังหวัดกาญจนบุรี, 71250 Tambon Dan Mae Chalap, Amphoe Si Sawat, Chang Wat Kanchanaburi 71250, Thailand']",111 km,1 hour 55 mins
9,ไทรโยค,"('ไทรโยค', 'กาญจนบุรี')",ทองผาภูมิ,"('ทองผาภูมิ', 'กาญจนบุรี')","['หมู่ 1, อาคารที่ว่าการอำเภอไทรโยค, ตำบลลุ่มสุ่ม อำเภอไทรโยค จังหวัดกาญจนบุรี, 71150 Tambon Lum Sum, Amphoe Sai Yok, Chang Wat Kanchanaburi 71150, Thailand']","['สำนักงานป้องกันและบรรเทาสาธารณภัยจังหวัดกาญจนบุรี สาขาอำเภอทองผาภูมิ ม.1 ท่าขนุน ทองผาภูมิ Tambon Tha Kha-nun, Amphoe Thong Pha Phum, Chang Wat Kanchanaburi 71180, Thailand']",103 km,1 hour 25 mins
